,tile_ID,geometry,position
73,73,"POLYGON ((-73.99332298295282 40.78094251251368, -73.99332298295282 40.78604393231313, -73.98658561832193 40.78604393231313, -73.98658561832193 40.78094251251368, -73.99332298295282 40.78094251251368))","[8, 19]"
74,74,"POLYGON ((-73.99332298295282 40.78604393231313, -73.99332298295282 40.79114496026963, -73.98658561832193 40.79114496026963, -73.98658561832193 40.78604393231313, -73.99332298295282 40.78604393231313))","[8, 20]"
75,75,"POLYGON ((-73.98658561832193 40.70437420143299, -73.98658561832193 40.70948149762803, -73.97984825369103 40.70948149762803, -73.97984825369103 40.70437420143299, -73.98658561832193 40.70437420143299))","[9, 4]"
76,76,"POLYGON ((-73.98658561832193 40.70948149762803, -73.98658561832193 40.71458840213665, -73.97984825369103 40.71458840213665, -73.97984825369103 40.70948149762803, -73.98658561832193 40.70948149762803))","[9, 5]"
77,77,"POLYGON ((-73.98658561832193 40.71458840213665, -73.98658561832193 40.71969491494836, -73.97984825369103 40.71969491494836, -73.97984825369103 40.71458840213665, -73.98658561832193 40.71458840213665))","[9, 6]"
78,78,"POLYGON ((-73.98658561832193 40.71969491494836, -73.98658561832193 40.72480103605261, -73.97984825369103 40.72480103605261, -73.97984825369103 40.71969491494836, -73.98658561832193 40.71969491494836))","[9, 7]"
79,79,"POLYGON ((-73.98658561832193 40.72480103605261, -73.98658561832193 40.72990676543892, -73.97984825369103 40.72990676543892, -73.97984825369103 40.72480103605261, -73.98658561832193 40.72480103605261))","[9, 8]"
80,80,"POLYGON ((-73.98658561832193 40.72990676543892, -73.98658561832193 40.7350121030968, -73.97984825369103 40.7350121030968, -73.97984825369103 40.72990676543892, -73.98658561832193 40.72990676543892))","[9, 9]"
81,81,"POLYGON ((-73.98658561832193 40.7350121030968, -73.98658561832193 40.74011704901576, -73.97984825369103 40.74011704901576, -73.97984825369103 40.7350121030968, -73.98658561832193 40.7350121030968))","[9, 10]"
82,82,"POLYGON ((-73.98658561832193 40.74011704901576, -73.98658561832193 40.74522160318534, -73.97984825369103 40.74522160318534, -73.97984825369103 40.74011704901576, -73.98658561832193 40.74011704901576))","[9, 11]"
83,83,"POLYGON ((-73.98658561832193 40.74522160318534, -73.98658561832193 40.7503257655951, -73.97984825369103 40.7503257655951, -73.97984825369103 40.74522160318534, -73.98658561832193 40.74522160318534))","[9, 12]"
84,84,"POLYGON ((-73.98658561832193 40.7503257655951, -73.98658561832193 40.75542953623459, -73.97984825369103 40.75542953623459, -73.97984825369103 40.7503257655951, -73.98658561832193 40.7503257655951))","[9, 13]"
85,85,"POLYGON ((-73.98658561832193 40.75542953623459, -73.98658561832193 40.76053291509339, -73.97984825369103 40.76053291509339, -73.97984825369103 40.75542953623459, -73.98658561832193 40.75542953623459))","[9, 14]"
